Subject ,Heart_Rate(BPM) ,TSCAN,DEEPPHSY,PSNET
video1,85.413,87.60203315548745,93.8788575254307,75.37928942135517
video2,76.17,82.040281617944,73.0884913226494,67.1784244368451
video3,72.883,73.51221834216678,73.5255432259763,64.91086881087709
video4,70.209,64.92779102296375,66.42588943437218,66.45333919272085
video5,77.912,74.37956069118914,78.46843870774157,68.8276358778902
video6,75.958,79.31774643086038,82.89583975969339,84.67041458071168
video7,70.209,62.749698151793574,74.43864584729131,78.48839425113397
video8,75.958,68.18100152672685,73.88967471040448,70.05452045412052
video9,80.52,69.99122811696189,83.51725021839944,74.88686044418476
video10,80.657,86.4346302511788,76.62963028640476,82.80831805651029
video11,80.362,83.61036706124987,83.70051651785754,84.50402679335895
video12,66.474,73.7188648879377,68.14019346660167,70.701695087703
video13,66.474,58.441122726546425,68.87452418126081,62.32410017508594
video14,81.455,75.90447298298598,76.28022130973464,80.4019800748536
video15,83.801,77.16478234263394,79.20195593987128,85.40240985392133
video16,84.633,77.3112313831268,91.25446154502549,91.7825642506214
video17,71.481,80.89630132621137,70.67132765827485,64.92038591325868
video18,77.636,80.0986585128005,77.18327590751363,80.222626847998
video19,83.563,87.8492757947517,80.9940999194236,82.35113540191936
video20,78.072,77.34347897214147,80.73775481040062,86.62002929742945
video21,81.455,89.3801472890182,75.51361524216023,74.05575440610923
video22,72.883,79.32485445937238,76.35897875153134,68.83486757820346
video23,83.814,86.63961490215677,84.25217507762675,82.21532623609058
video24,65.964,58.64261551791402,67.65761656766804,59.85629473816919
video25,85.533,96.45809925316804,79.93454250692506,94.21737008211402
video26,68.922,76.39366352300915,62.77341150755971,74.06586279097645
video27,79.492,70.764635376016,72.38341017279376,79.70272151420355
video28,78.443,78.73879197757694,74.6392562063242,78.3302079742272
video29,75.048,73.32297081779703,76.87107110890466,77.03034006198604
video30,72.29,64.35732928841514,67.29097700296755,65.06380278082054
video31,79.349,86.78033795028531,82.25058621064524,88.88721962423844
video32,66.479,58.696648528381964,63.47154382279534,60.04420365583726
video33,73.286,64.51291071530233,72.61899532543292,77.32726258352466
video34,83.776,74.79175499295243,82.19402380490324,91.93186179840413
video35,81.037,87.23298881427301,75.52283058793155,86.75975907302623
video36,77.728,82.32580844773013,77.63617967410835,80.01280831487749
video37,67.486,67.77881193905729,64.95635041527215,65.06004719038759
video38,71.069,67.68832321844778,72.4012830673133,79.13096742130745
video39,78.072,75.66836772246819,76.79705574309446,84.20681733036514
video40,79.705,88.72761647412183,85.51473641291469,87.70770164717644
video41,77.023,81.82401492471222,80.06549016274215,81.01988907033596
video42,76.5,81.99972036898882,72.16801737893506,78.63454494999233
video43,65.722,62.16082684287085,60.15155131824322,63.80055126544291
video44,72.389,63.85858909253815,70.95267191985609,65.0949378258476
